hauxe idatzita dago ...	hauxe idatzita dago hasierako garaietatik harri zahar hauen gainean :
hauxe idatzita dago hasierako garaietatik harri zahar hauen gainean :	... naturaz gaindiko izaki gaiztoak existitzen direla itzalen mundu batean .
... naturaz gaindiko izaki gaiztoak existitzen direla itzalen mundu batean .	hau ere esana dago harrezkero :
hau ere esana dago harrezkero :	antzinako karaktere errunikoen ahalmen magikoa erabiltzen duen gizonak ilunpeko ahalmen horiek inbokatu ditzake infernuko deabruak , alegia .
antzinako karaktere errunikoen ahalmen magikoa erabiltzen duen gizonak ilunpeko ahalmen horiek inbokatu ditzake infernuko deabruak , alegia .	gizakia beti egon da izaki horien beldurrez .
gizakia beti egon da izaki horien beldurrez .	sorginkeria eta gaizkiaren gurtza existitzen dira gure egunetan ere .
sorginkeria eta gaizkiaren gurtza existitzen dira gure egunetan ere .	deabruaren gaua
deabruaren gaua	hamabost .
hamabost .	bi gehi hiru berdin bost .
bi gehi hiru berdin bost .	karswell doktorea ?
karswell doktorea ?	nor zaitugu ?
nor zaitugu ?	harrington irakaslea .
harrington irakaslea .	esaiozu oso kontu larria dela .
esaiozu oso kontu larria dela .	karswell jauna ez dago etxean .
karswell jauna ez dago etxean .	badakit etxean dagoela .
badakit etxean dagoela .	ez naiz hemendik joango .
ez naiz hemendik joango .	sentitzen dut , jauna .
sentitzen dut , jauna .	zoaz ...
zoaz ...	karswell .
karswell .	ondo da , bates .
ondo da , bates .	sartu .
sartu .	hemendik .
hemendik .	arratsalde on .
arratsalde on .	baita zuri ere .
baita zuri ere .	ama ...
ama ...	tea prestatuko dizuet .
tea prestatuko dizuet .	ez da beharrezkoa .
ez da beharrezkoa .	berehala bukatuko dugu .
berehala bukatuko dugu .	geldi ezazu , karswell .
geldi ezazu , karswell .	gelditu hasi duzuna eta jendaurrean esango dut ni oker nengoela eta zu zuzen .
gelditu hasi duzuna eta jendaurrean esango dut ni oker nengoela eta zu zuzen .	pozten naiz hori entzuteaz , baina gauza batzuk erraz hasten dira baina kostata amaitzen .
pozten naiz hori entzuteaz , baina gauza batzuk erraz hasten dira baina kostata amaitzen .	baina entzun dut , ikusi dut .
baina entzun dut , ikusi dut .	badakit benetakoa dela !
badakit benetakoa dela !	eskandalu publiko batean sartu ninduzun .
eskandalu publiko batean sartu ninduzun .	protesta egin nuen .
protesta egin nuen .	desafioa bota zenidan , eta nik onartu .
desafioa bota zenidan , eta nik onartu .	mesedez , karswell .
mesedez , karswell .	ikerketa geldituko dut .
ikerketa geldituko dut .	holden iristean , oker nengoela esango diot .
holden iristean , oker nengoela esango diot .	adierazpen bat bidaliko dut egunkarietara .
adierazpen bat bidaliko dut egunkarietara .	ez !
ez !	pribatutasuna nahi dut niretzat eta nire jendearentzat .
pribatutasuna nahi dut niretzat eta nire jendearentzat .	hitz ematen dizut .
hitz ematen dizut .	hori ondo dago .
hori ondo dago .	gelditu egingo duzu , beraz ?
gelditu egingo duzu , beraz ?	hor daukazu oraindik eman nizun pergaminoa ?
hor daukazu oraindik eman nizun pergaminoa ?	sinbolo errunikoak ?
sinbolo errunikoak ?	ez , erre egin ziren .
ez , erre egin ziren .	tira ba .
tira ba .	hobe duzu etxera joatea .
hobe duzu etxera joatea .	lagunduko didazu , beraz ?
lagunduko didazu , beraz ?	ahaleginak egingo ditut .
ahaleginak egingo ditut .	jakingo bazenu ...
jakingo bazenu ...	badakit .
badakit .	eskerrik asko .
eskerrik asko .	gabon , karswell andrea .
gabon , karswell andrea .	gabon .
gabon .	mila esker berriz .
mila esker berriz .	agur , irakasle .
agur , irakasle .	karswellen deabruaren gurtza salatuko dute zientzialariek .
karswellen deabruaren gurtza salatuko dute zientzialariek .	psikologo ospetsu bat londresko nazioarteko bilkuran
psikologo ospetsu bat londresko nazioarteko bilkuran	badaukazu begiak estaltzeko zerrendarik ?
badaukazu begiak estaltzeko zerrendarik ?	argi horrek ez dit uzten lo egiten .
argi horrek ez dit uzten lo egiten .	ez daukat .
ez daukat .	pastillarik nahi ?
pastillarik nahi ?	ez .
ez .	pastillak utzi nahian nabil .
pastillak utzi nahian nabil .	barkatu .
barkatu .	ezin naiz atera .
ezin naiz atera .	barkatu .
barkatu .	ederki .
ederki .	eserlekua alda diezadakezu ?
eserlekua alda diezadakezu ?	ezin dut lo egin eta traba egiten diot nire aurreko gizonari .
ezin dut lo egin eta traba egiten diot nire aurreko gizonari .	ezin da .
ezin da .	dena beteta dago .
dena beteta dago .	eskerrik asko .
eskerrik asko .	eskerrik asko .
eskerrik asko .	ez horregatik .
ez horregatik .	badatoz .
badatoz .	holden doktorea ?
holden doktorea ?	lloyd williamson naiz .
lloyd williamson naiz .	harrington irakaslearen laguntzailea .
harrington irakaslearen laguntzailea .	pozten naiz zu ezagutzeaz .
pozten naiz zu ezagutzeaz .	irakaslea bera etortzekoa zen , baina ...
irakaslea bera etortzekoa zen , baina ...	holden doktorea ?
holden doktorea ?	bai ?
bai ?	kazetariak gara .
kazetariak gara .	hitz egin dezakegu zurekin ?
hitz egin dezakegu zurekin ?	zergatik naiz albiste ?
zergatik naiz albiste ?	mamuengatik .
mamuengatik .	zein da zehazki bilkura honen zeregina ?
zein da zehazki bilkura honen zeregina ?	psikologia paranormalen nazioarteko txostenen ikerketa .
psikologia paranormalen nazioarteko txostenen ikerketa .	psikologia parazer ?
psikologia parazer ?	adimenirakurleak , igarleak , espirituak eta zonbiak .
adimenirakurleak , igarleak , espirituak eta zonbiak .	zer diozu berraragitu dela dioen jende horretaz ?
zer diozu berraragitu dela dioen jende horretaz ?	hipnosiaren eraginez , jendea sugestioaren mende erortzen da .
hipnosiaren eraginez , jendea sugestioaren mende erortzen da .	ordezkari guztiak zu bezain mesfidatiak dira ?
ordezkari guztiak zu bezain mesfidatiak dira ?	denak ez , seguru asko .
denak ez , seguru asko .	galdetu williamsoni , berak jakingo du .
